seed, 8115
2,2,3,3,7,7,3,4,5,3,2,2,2,1,3,2,1,1,3,2,1,1,4,5,3,3,2,1,1,3,1,2,3,2,1,1,1,
2,2,3,4,7,3,2,3,1,7,4,1,3,2,2,1,1,4,5,3,5,1,3,4,3,3,2,1,2,3,1,2,1,1,1,1,1,
2,2,3,4,3,6,5,4,3,2,4,7,4,13,12,3,2,1,3,2,2,3,2,2,3,1,4,2,1,1,1,1,2,1,1,2,1,
2,2,4,4,7,3,3,4,6,5,2,3,4,2,1,2,3,2,2,1,1,5,1,1,2,3,2,1,2,2,1,1,1,2,1,1,1,
2,2,3,4,3,7,7,1,4,3,1,2,3,5,4,3,2,4,4,2,4,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,
2,2,3,4,7,3,4,7,4,3,3,5,1,3,1,3,1,2,1,3,5,1,6,1,1,2,1,3,2,1,4,2,1,2,1,1,0,
2,2,4,4,7,3,3,2,2,3,7,1,1,4,1,3,5,3,4,2,1,5,2,3,1,2,2,3,3,1,3,2,2,1,1,1,1,
2,2,3,3,2,7,7,3,5,1,3,2,4,3,5,1,2,1,2,2,1,1,3,4,1,3,3,2,2,1,2,1,1,1,1,1,1,
2,2,3,4,4,3,3,7,2,3,2,5,4,1,3,7,1,1,4,2,1,4,3,2,2,1,3,1,2,2,1,3,1,1,1,1,1,
2,2,3,4,2,3,3,4,7,3,2,7,2,5,5,3,4,2,3,1,3,4,2,4,1,2,1,1,1,3,3,1,1,1,1,2,1,
2,2,3,4,4,3,7,7,2,1,2,3,2,3,5,1,3,4,1,2,4,4,3,2,2,3,2,1,1,2,2,2,1,1,1,1,1,
2,2,4,4,3,3,4,6,5,3,3,2,1,3,2,7,2,2,1,1,2,3,1,5,3,2,1,1,2,1,1,2,2,2,1,1,1,
2,2,3,4,3,7,7,3,2,2,3,1,2,4,5,2,4,5,2,1,3,3,2,1,1,4,3,2,3,4,1,1,2,2,2,2,1,
2,2,3,3,4,7,2,3,2,2,5,3,3,4,4,1,2,1,3,7,1,1,4,3,2,5,2,2,1,2,1,2,2,1,1,1,1,
2,2,3,4,2,3,3,4,6,5,3,1,1,4,3,2,4,2,1,3,1,7,2,5,3,1,1,3,2,2,2,1,1,1,1,1,1,
2,2,3,4,2,7,3,3,4,7,4,1,4,1,2,1,3,2,5,3,2,5,2,1,1,2,2,3,1,3,2,1,3,1,1,1,1,
2,2,3,4,2,3,6,5,3,4,1,2,1,4,3,1,4,3,2,2,6,5,3,1,2,3,1,1,1,3,1,1,2,1,2,1,1,
2,2,3,3,4,7,7,3,1,1,2,4,5,5,4,3,3,1,3,3,4,1,1,3,2,2,2,2,1,2,1,1,1,1,1,1,1,
2,2,3,4,2,7,7,3,3,5,2,2,1,1,3,3,2,2,1,4,1,1,2,5,2,4,1,1,3,3,1,3,2,1,1,1,1,
